,gpas_uw,gpas_w,gpas_max,act_score,sat_score,stanford_admit,hook_admit,competetive,ap_count,ivy_admit,top_25_admit
484,,,,,,TRUE,0,1,10,FALSE,TRUE
485,4.0,4.609,5.0,36.0,1580.0,TRUE,0,1,16,FALSE,TRUE
486,3.7,4.2,4.2,,,FALSE,0,0,48,FALSE,FALSE
487,,,,,,FALSE,0,0,0,FALSE,FALSE
488,,,,,,FALSE,0,1,97,FALSE,FALSE
489,3.97,4.5,4.5,,,FALSE,0,0,6,FALSE,FALSE
490,4.0,4.0,4.0,,,FALSE,0,0,0,FALSE,FALSE
491,4.0,4.56,4.56,34.0,1490.0,FALSE,0,1,24,FALSE,TRUE
492,4.43,4.43,4.43,,,FALSE,0,0,3,FALSE,FALSE
493,,,,,,FALSE,0,0,0,FALSE,FALSE
494,,,,,,FALSE,0,0,0,FALSE,FALSE
495,,,,,,FALSE,0,0,7,FALSE,FALSE
496,,,,,1490.0,FALSE,0,0,0,FALSE,FALSE
497,,,,,,FALSE,0,0,0,FALSE,FALSE
498,,,,,,FALSE,0,0,9,TRUE,TRUE
499,,,,,,FALSE,0,0,7,FALSE,TRUE
500,,,,,,FALSE,0,0,2,FALSE,FALSE
501,,,,,,FALSE,0,0,0,FALSE,FALSE
502,4.0,4.5,4.5,35.0,1540.0,FALSE,0,0,0,FALSE,FALSE
503,,,,,,FALSE,0,0,9,TRUE,TRUE
504,4.0,5.7,5.7,,1590.0,FALSE,0,0,3,FALSE,FALSE
505,,,,,,FALSE,0,0,42,FALSE,FALSE
506,3.8,4.2,4.2,34.0,1500.0,FALSE,0,1,8,FALSE,FALSE
507,,,,,,FALSE,0,0,22,FALSE,FALSE
508,,,,,,FALSE,0,0,25,FALSE,FALSE
509,,,,,,FALSE,0,0,9,FALSE,FALSE
510,,,,,,FALSE,0,0,0,FALSE,FALSE
511,3.8,4.4,4.4,30.0,1370.0,FALSE,0,0,3,FALSE,FALSE
512,,,,,,FALSE,0,0,2,TRUE,TRUE
513,,,,,,FALSE,0,0,0,FALSE,FALSE
514,,,,,,FALSE,0,0,0,FALSE,FALSE
515,,,,,,FALSE,0,0,0,FALSE,FALSE
516,,,,,,FALSE,0,0,7,FALSE,FALSE
517,,,,,,FALSE,0,0,0,FALSE,FALSE
518,,,,,,FALSE,0,0,0,FALSE,FALSE
519,,,,,,TRUE,0,0,7,FALSE,TRUE
520,,,,,,FALSE,0,0,0,FALSE,FALSE
521,,,,,,FALSE,1,0,7,FALSE,FALSE
522,3.91,4.06,4.06,,,FALSE,0,0,0,FALSE,FALSE
523,,,,,,FALSE,0,1,8,FALSE,FALSE
524,3.777,3.777,3.777,,1500.0,FALSE,0,0,4,FALSE,FALSE
525,,,,,,FALSE,0,0,0,FALSE,FALSE
526,,,,,,FALSE,0,0,0,FALSE,FALSE
527,3.84,3.92,3.92,,,FALSE,1,0,2,FALSE,FALSE
528,3.9,4.4,4.4,,,FALSE,0,0,0,FALSE,FALSE
529,,,,,,FALSE,0,0,8,FALSE,FALSE
530,3.792,94.8,94.8,,1480.0,FALSE,0,0,0,FALSE,FALSE
531,,,,,,FALSE,0,0,0,FALSE,FALSE
532,3.68,4.58,4.58,35.0,1540.0,FALSE,0,0,0,FALSE,FALSE
533,,,,,,FALSE,0,0,0,FALSE,FALSE
534,3.96,4.31,4.31,,,FALSE,0,0,0,FALSE,FALSE
535,,,,,,FALSE,0,0,0,FALSE,FALSE
536,3.9,4.25,4.25,,,FALSE,0,0,0,FALSE,FALSE
537,4.3,4.3,4.3,,1250.0,FALSE,0,0,0,FALSE,FALSE
538,3.5,3.78,3.78,28.0,1310.0,FALSE,0,0,0,FALSE,FALSE
539,4.3,4.3,4.3,34.0,1550.0,FALSE,0,0,0,FALSE,FALSE
540,,,,29.0,1340.0,FALSE,0,0,0,FALSE,FALSE
541,4.05,4.05,4.05,,,FALSE,0,0,0,FALSE,FALSE
542,4.16,4.16,4.85,,1520.0,FALSE,0,1,0,FALSE,FALSE
543,3.85,3.85,3.85,,,FALSE,0,0,0,FALSE,FALSE
544,3.9,3.9,3.9,35.0,1540.0,FALSE,0,1,15,FALSE,TRUE
545,4.0,4.8,4.8,,1560.0,FALSE,0,0,0,FALSE,FALSE
546,4.25,4.25,5.0,,,FALSE,0,0,0,FALSE,FALSE
547,3.8080000000000000,95.2,95.2,,1550.0,FALSE,0,0,9,FALSE,FALSE
548,3.685,92.125,92.125,32.0,1430.0,FALSE,1,0,0,FALSE,FALSE
